localizacao;latitude;longitude
Cairu,BA,Brasil;-13.4860505;-39.0455744 
Encruzilhada,BA,Brasil;-15.5322113;-40.9072488 
Entre Rios,BA,Brasil;-11.9423743;-38.0836985 
Lafaiete Coutinho,BA,Brasil;-13.6557671;-40.2121188 
Quixabeira,BA,Brasil;-11.4123294;-40.1264724 
Rodelas,BA,Brasil;-8.8485589;-38.7663939 
Senhor do Bonfim,BA,Brasil;-10.4602509;-40.189151 
Boquira,BA,Brasil;-12.8184859;-42.7270883 
Morro do Chapéu,BA,Brasil;-11.5500293;-41.1570248 
Ruy Barbosa,BA,Brasil;-12.2856669;-40.4958361 
Anagé,BA,Brasil;-14.6134669;-41.1376308 
Araças,BA,Brasil;-12.2139176;-38.2026159 
Conceição da Feira,BA,Brasil;-12.5013001;-39.0002166 
Mucuri,BA,Brasil;-18.0787487;-39.5470583 
Mundo Novo,BA,Brasil;-11.8573859;-40.4731656 
Muritiba,BA,Brasil;-12.624266;-38.9885844 
Queimadas,BA,Brasil;-10.9807081;-39.6249588 
Sobradinho,BA,Brasil;-9.469775;-40.7957473 
São Desidério,BA,Brasil;-12.357196;-44.976881 
Teofilândia,BA,Brasil;-11.4891658;-38.9997411 
Vereda,BA,Brasil;-17.2247466;-40.0856161 
Várzea da Roça,BA,Brasil;-11.606293;-40.134634 
Abaré,BA,Brasil;-8.7239913;-39.1139689 
Banzaê,BA,Brasil;-10.5827616;-38.6122305 
Bom Jesus da Lapa,BA,Brasil;-13.250571;-43.410754 
Cabaceiras do Paraguaçu,BA,Brasil;-12.5377868;-39.1901339 
Conceição do Almeida,BA,Brasil;-12.7772763;-39.1692214 
Cristópolis,BA,Brasil;-12.2349301;-44.4160811 
Iaçu,BA,Brasil;-12.7672074;-40.2106427 
Ibitiara,BA,Brasil;-12.6493766;-42.2172476 
Igrapiúna,BA,Brasil;-13.8219097;-39.1423431 
Inhambupe,BA,Brasil;-11.7921718;-38.3596957 
Ipecaetá,BA,Brasil;-12.3158261;-39.306421 
Miguel Calmon,BA,Brasil;-11.4309436;-40.5976501 
Mirangaba,BA,Brasil;-10.9540277;-40.5764152 
Nova Ibiá,BA,Brasil;-13.8102566;-39.624783 
Piatã,BA,Brasil;-13.1535638;-41.7743761 
Ponto Novo,BA,Brasil;-10.8642828;-40.1328306 
Presidente Jânio Quadros,BA,Brasil;-14.685696;-41.6770097 
Saúde,BA,Brasil;-10.9414907;-40.4205842 
Sento Sé,BA,Brasil;-9.7406436;-41.8830056 
Monte Santo,BA,Brasil;-10.4382898;-39.3304065 
Cardeal da Silva,BA,Brasil;-11.9428154;-37.9494462 
Caém,BA,Brasil;-11.0909658;-40.4322187 
Itiúba,BA,Brasil;-10.6917496;-39.8532886 
Mutuípe,BA,Brasil;-13.2282298;-39.5060149 
Piritiba,BA,Brasil;-11.7320314;-40.5561536 
Urandi,BA,Brasil;-14.7680766;-42.6573988 
Caetité,BA,Brasil;-14.0691776;-42.4852428 
Cocos,BA,Brasil;-14.1811222;-44.5382117 
Riachão do Jacuípe,BA,Brasil;-11.8071084;-39.3816843 
Wenceslau Guimarães,BA,Brasil;-13.6866356;-39.479122 
Apuarema,BA,Brasil;-13.8517897;-39.7457126 
Itanagra,BA,Brasil;-12.2589718;-38.0388625 
Itaeté,BA,Brasil;-12.9794728;-40.9661685 
Jaguaripe,BA,Brasil;-13.1147557;-38.8944977 
Lapão,BA,Brasil;-11.3827148;-41.833808 
Varzedo,BA,Brasil;-12.9755592;-39.3943596 
Xique-Xique,BA,Brasil;-10.8217193;-42.7265689 
Aporá,BA,Brasil;-11.6599747;-38.0794757 
Barra do Mendes,BA,Brasil;-11.8053298;-42.057037 
Condeúba,BA,Brasil;-14.902227;-41.971829 
Cândido Sales,BA,Brasil;-15.5037649;-41.2391141 
Esplanada,BA,Brasil;-11.800614;-37.9453 
Ibirapuã,BA,Brasil;-17.6873491;-40.109661 
Itanhém,BA,Brasil;-17.1665806;-40.3291027 
Jaborandi,BA,Brasil;-13.6203918;-44.4693394 
Jacaraci,BA,Brasil;-14.8457532;-42.4328959 
Lajedão,BA,Brasil;-17.6125496;-40.3450272 
Lamarão,BA,Brasil;-11.7954003;-38.8852303 
Mascote,BA,Brasil;-15.5645474;-39.3026663 
Olindina,BA,Brasil;-11.3601309;-38.3269571 
Paratinga,BA,Brasil;-12.692459;-43.1805318 
Riacho de Santana,BA,Brasil;-13.6100985;-42.9355254 
Ribeira do Amparo,BA,Brasil;-11.0412527;-38.4299461 
Biritinga,BA,Brasil;-11.6227908;-38.8066738 
Cipó,BA,Brasil;-11.0990534;-38.5153006 
Glória,BA,Brasil;-9.3429057;-38.2552548 
Jiquiriçá,BA,Brasil;-13.255353;-39.5693044 
Nova Fátima,BA,Brasil;-11.6046105;-39.631054 
Santa Brígida,BA,Brasil;-9.7343772;-38.1259256 
Sapeaçu,BA,Brasil;-12.7294438;-39.1862263 
Antônio Cardoso,BA,Brasil;-12.4363122;-39.1200307 
Bom Jesus da Serra,BA,Brasil;-14.3724084;-40.5047119 
Marcionílio Souza,BA,Brasil;-13.0024332;-40.5317476 
Souto Soares,BA,Brasil;-12.0878456;-41.6495346 
Baianópolis,BA,Brasil;-12.3067564;-44.5383591 
Caraíbas,BA,Brasil;-14.72496;-41.2566163 
Crisópolis,BA,Brasil;-11.5105813;-38.1506278 
Macarani,BA,Brasil;-15.5610861;-40.4226078 
Pintadas,BA,Brasil;-11.813042;-39.9076005 
Riachão das Neves,BA,Brasil;-11.7481049;-44.9109851 
Santa Inês,BA,Brasil;-13.2897697;-39.8179701 
Terra Nova,BA,Brasil;-12.4069929;-38.6191596 
Fátima,BA,Brasil;-10.5944103;-38.2118405 
Rio do Antônio,BA,Brasil;-14.4072692;-42.0766717 
Salinas da Margarida,BA,Brasil;-12.8733508;-38.7593794 
Aratuípe,BA,Brasil;-13.077137;-39.0010786 
Coronel João Sá,BA,Brasil;-10.2856387;-37.9259435 
João Dourado,BA,Brasil;-11.3483643;-41.6626509 
Piraí do Norte,BA,Brasil;-13.7613252;-39.3743055 
Caculé,BA,Brasil;-14.4990734;-42.2233006 
Cícero Dantas,BA,Brasil;-10.5932265;-38.3834411 
Iguaí,BA,Brasil;-14.752754;-40.089417 
Maiquinique,BA,Brasil;-15.6215177;-40.2650536 
Novo Triunfo,BA,Brasil;-10.3317495;-38.4191302 
Santa Rita de Cássia,BA,Brasil;-11.0013969;-44.5209684 
São Félix,BA,Brasil;-12.6069891;-38.9695574 
Alcobaça,BA,Brasil;-17.5215875;-39.1965474 
Buritirama,BA,Brasil;-10.7148421;-43.6362327 
Canudos,BA,Brasil;-9.8948692;-39.0266244 
Casa Nova,BA,Brasil;-9.1736775;-40.9734475 
Itaquara,BA,Brasil;-13.4464331;-39.9384891 
Milagres,BA,Brasil;-12.864635;-39.861092 
Muniz Ferreira,BA,Brasil;-13.0012551;-39.1102126 
Ourolândia,BA,Brasil;-10.9686909;-41.0808672 
Paripiranga,BA,Brasil;-10.6828923;-37.8621523 
Pedro Alexandre,BA,Brasil;-10.0118695;-37.894739 
Poções,BA,Brasil;-14.5274879;-40.3665326 
São José do Jacuípe,BA,Brasil;-11.5040358;-40.025658 
Tanhaçu,BA,Brasil;-14.019662;-41.247271 
Tanquinho,BA,Brasil;-11.9747061;-39.1057638 
Uauá,BA,Brasil;-9.8384079;-39.4793914 
Antas,BA,Brasil;-10.4114649;-38.3308815 
Candiba,BA,Brasil;-14.4125032;-42.8714102 
Central,BA,Brasil;-11.135426;-42.1110123 
Filadélfia,BA,Brasil;-10.7418885;-40.1304175 
Ibipeba,BA,Brasil;-11.6425335;-42.0083068 
Mansidão,BA,Brasil;-10.7196537;-44.0356021 
Mulungu do Morro,BA,Brasil;-11.9653564;-41.6408239 
Pedrão,BA,Brasil;-12.1451302;-38.6466197 
Pindaí,BA,Brasil;-14.4911899;-42.6864686 
Pindobaçu,BA,Brasil;-10.7439121;-40.3619457 
Santa Cruz da Vitória,BA,Brasil;-14.9629349;-39.8105374 
Ituaçu,BA,Brasil;-13.815529;-41.2981722 
Macaúbas,BA,Brasil;-13.0174846;-42.6882221 
Malhada de Pedras,BA,Brasil;-14.343804899999999;-41.846792733080704 
Andaraí,BA,Brasil;-12.8059674;-41.3322919 
Aramari,BA,Brasil;-12.0907897;-38.4985065 
Correntina,BA,Brasil;-13.344157;-44.6345066 
Jandaíra,BA,Brasil;-11.5628009;-37.7820255 
Ribeirão do Largo,BA,Brasil;-15.4588477;-40.7411582 
Serra Dourada,BA,Brasil;-12.758418;-43.9500907 
Candeal,BA,Brasil;-11.8053441;-39.1206515 
Firmino Alves,BA,Brasil;-14.9871017;-39.9242157 
Maetinga,BA,Brasil;-14.6627814;-41.4914419 
